0,1,2
-1.1688005051977688,1.1766039471903467,5.0
-1.0281185210153925,1.1821743945673906,5.0
-1.1922494137735282,1.3118983128973893,5.0
-1.26429243991484,1.1581649707178947,5.0
-1.186734448683816,1.1766746715944494,5.0
-1.2843411945802803,1.1855130430057679,5.0
-1.2253730381710606,1.2426718862458688,5.0
-1.3177183258431016,1.1504898654404763,5.0
-1.1185843609394397,1.33133313501213,5.0
-1.306856531283193,1.245597604778355,5.0
-1.2693394485323086,1.1394113323819166,5.0
-1.261651168285546,1.1701241778184186,5.0
-1.1295410641345212,1.2503757911698359,5.0
-1.195817870455167,1.1743100414146594,5.0
-1.1997674436859034,1.1925095866087108,5.0
-1.1439226619965939,1.1553411417768884,5.0
-1.200438046179911,1.1928534406331353,5.0
-1.2036987448178678,1.217622349636268,5.0
-1.1860233209253899,1.2943880478703416,5.0
-1.2061430330318608,1.3104170073739492,5.0
-1.2216270745313318,1.1662192875256716,5.0
-1.1928767343608409,1.2251332954092813,5.0
-1.1809355239109514,1.2913556069438343,5.0
-1.119436285357536,1.2349622158403997,5.0
-1.2237825649594372,1.192885491344159,5.0
-1.1000576677011882,1.2156450290633423,5.0
-1.2926856571209957,1.1512403748348257,5.0
-1.2408363523442896,1.2814731806448127,5.0
-1.2075776380368126,1.3598136825903253,5.0
-1.1535699919919733,1.2088251752529344,5.0
-1.23080891957346,1.2687434582403398,5.0
-1.2170208481002083,1.1417256717553879,5.0
-1.1598269502678547,1.2009021492259453,5.0
-1.1159207097526866,1.194796166526267,5.0
-1.4022104753276379,1.2558166337236505,5.0
-1.3327763312350331,1.3088064905011203,5.0
-1.0712100642333142,1.1698043211247213,5.0
-1.282356861870352,1.101211948333749,5.0
-1.1382939999679051,1.18570808660035,5.0
-1.2423104366513122,1.182787627857437,5.0
-1.0523197101791952,1.2245309008708418,5.0
-1.1472691416718488,1.2549356626038386,5.0
-1.1279867510619113,1.2750488799517943,5.0
-1.2502375642476367,1.1847839245677612,5.0
-1.253793877306558,1.1497131658734967,5.0
-1.119283213808303,1.1645205250080801,5.0
-1.2055968464232745,1.1510097795383012,5.0
-1.2419599123379474,1.2557368395065445,5.0
-1.231496656753253,1.16590895466324,5.0
